BinomialReptileDatabase,Sex,Family,SSM,SSBF,max_bf,max_bm,max_svl,max_hl,max_hw,max_hh,max_ljl
Anolis carolinensis,M,Dactyloidae,56,56,9.83,NA,63.32,NA,NA,NA,NA
Bradypodion caeruleogula,M,Chamaeleonidae,6,6,6.14,NA,46.11,NA,NA,NA,NA
Bradypodion caffer,M,Chamaeleonidae,6,6,14.78,NA,61.96,NA,NA,NA,NA
Bradypodion damaranum,M,Chamaeleonidae,19,19,24.01,NA,65.46,NA,NA,NA,NA
Bradypodion kentanicum,M,Chamaeleonidae,11,11,7.88,NA,51.02,NA,NA,NA,NA
Bradypodion nemorale,M,Chamaeleonidae,4,4,9.26,NA,52.84,NA,NA,NA,NA
Bradypodion pumilum,M,Chamaeleonidae,27,27,16.09,NA,62.07,NA,NA,NA,NA
Bradypodion setaroi,M,Chamaeleonidae,7,7,10.93,NA,50.99,NA,NA,NA,NA
Bradypodion thamnobates,M,Chamaeleonidae,25,13,30.4,NA,60.97,NA,NA,NA,NA
Bradypodion transvaalense,M,Chamaeleonidae,12,12,16.02,NA,60.26,NA,NA,NA,NA
Bradypodion ventrale,M,Chamaeleonidae,8,8,9.46,NA,64.22,NA,NA,NA,NA
Bradypodion taeniabronchum,M,Chamaeleonidae,21,32,3.65,NA,50.13,NA,NA,NA,NA
Gallotia intermedia,M,Lacertidae,1,1,121.9,123,154.8,42.3,28.4,20.3,34.6
Acanthodactylus aureus,M,Lacertidae,3,3,5.83,NA,72.35,18.73,11.17,9.16,NA
Acanthodactylus erythrurus,M,Lacertidae,7,7,9.7,NA,72.5,17.75,11.65,9.27,NA
Iberolacerta monticola,M,Lacertidae,6,6,12.91,NA,73.28,17.96,11.18,7.89,NA
Lacerta schreiberi,M,Lacertidae,7,7,34.23,NA,95.57,24.58,17.01,13.22,NA
Zootoca vivipara,M,Lacertidae,8,8,2.29,NA,52.63,11.54,7.19,5.71,NA
Podarcis peloponnesiacus,M,Lacertidae,9,9,13.45,NA,75.5,19.66,11.83,9.67,NA
Psammodromus hispanicus,M,Lacertidae,6,6,2.26,NA,41.1,10.72,6.56,5.24,NA
Takydromus sexlineatus,M,Lacertidae,9,9,0.56,NA,54.45,13.73,6.24,5.43,NA
Bradypodion occidentale,M,Chamaeleonidae,1,1,21.71,NA,71.98,NA,NA,NA,NA
