BinomialReptileDatabase,Sex,Family,SSM,SSBF,bf_plus_se,bm_plus_se,svl_plus_se,hl_plus_se,hw_plus_se,hh_plus_se,ljl_plus_se,MainBiogeographicRealm,Lifestyle,MieriDiet,MetzgerHerrelDiet,CooperDiet,PercentPlantMatterEaten
Anolis valencienni,F,Lacertidae,20,20,3.4844133022449837,NA,61.81057116965494,17.200996894379983,8.22180339887499,6.539442719099992,17.233357574154983,Neotropic,Arboreal/Terrestrial,Omnivorous,NA,NA,NA
Bradypodion melanocephalum,F,Chamaeleonidae,16,15,14.941197436860833,NA,57.707499999999996,11.4425,7.4775,7.007499999999999,11.265,Afrotropic,Arboreal,Carnivorous,NA,NA,NA
Bradypodion thamnobates,F,Chamaeleonidae,25,25,28.009999999999998,NA,67.084,14.722,10.36,9.15,14.172,Afrotropic,Arboreal,Carnivorous,NA,NA,NA
Crotaphytus antiquus,F,Crotaphytidae,12,12,20.6,27.2,89.39999999999999,23.099999999999998,18.8,NA,NA,Neartic,Saxicolous,Carnivorous,NA,NA,NA
Gallotia galloti,F,Lacertidae,24,24,37.82516149466452,NA,93.71258074733225,23.247011046894283,15.108248290463862,11.844948974278317,NA,Paleartic,Terrestrial,Herbivorous,Herbivorous,NA,NA
Iberolacerta horvathi,F,Lacertidae,25,25,0.9480000000000001,NA,60.084,18.988,7.428,4.752,NA,Paleartic,Saxicolous,Carnivorous,NA,NA,NA
Karusasaurus polyzonus,F,Cordylidae,20,20,31.560958893802365,NA,106.71766709773486,26.38634131291747,21.76211840055747,12.907829710109983,26.71659053651247,Afrotropic,Saxicolous,Carnivorous,NA,NA,NA
Archaeolacerta bedriagae,F,Lacertidae,7,7,4.6315218406203,NA,66.80405183549043,16.393725393319375,9.791353814911997,6.61576092031015,NA,Paleartic,Saxicolous,Omnivorous,Omnivorous,Omnivorous,50
Lacerta bilineata,F,Lacertidae,2,2,15.560660171779821,NA,99.40208152801713,23.270710678118654,14.212132034355964,12.048528137423856,NA,Paleartic,Terrestrial,Carnivorous,Carnivorous,NA,NA
Dalmatolacerta oxycephala,F,Lacertidae,13,13,3.09414506867883,NA,54.397690529808116,13.477350098112614,7.29414506867883,5.066410058867569,14.205085107923876,Paleartic,Saxicolous,Carnivorous,NA,NA,NA
Lacerta trilineata,F,Lacertidae,12,12,41.73362757406661,NA,120.68682468035705,35.91835680518387,17.272168783648702,14.252997821335251,21.072168783648703,Paleartic,Arboreal/Terrestrial/Saxicolous,Omnivorous,NA,NA,NA
