Citation,BinomialStudy,BinomialReptileDatabase,MainBiogeographicRealm,Lifestyle,MieriDiet,MetzgerHerrelDiet,CooperDiet,PercentPlantMatterEaten,BinominalMieri,Notes
Lopez-Darias et al. 2015,Gallotia stehlini,Gallotia stehlini,Paleartic,Terrestrial,Herbivorous,,,,,
"Montuelle, et al., 2015",Gekko gecko ,Gekko gecko ,Indomalaya,Arboreal/Saxicolous,Carnivorous,Carnivorous,,,,Species is introduced outside of Indomalaya
"McBrayer, 2004",Heliobolus lugubris,Heliobolus lugubris,Afrotropic,Terrestrial,Carnivorous,,,,,
"Broeckhoven, et al., 2017",Hemicordylus capensis,Hemicordylus capensis,Afrotropic,Saxicolous,Carnivorous,,,,,
Iberolacerta horvathi,Iberolacerta horvathi,Iberolacerta horvathi,Paleartic,Saxicolous,Carnivorous,,,,,
Broeckhoven & Mouton 2014,Karusasaurus polyzonus,Karusasaurus polyzonus,Afrotropic,Saxicolous,Carnivorous,,,,,
"Herrel, et al., 2004",Lacerta bedriagae,Archaeolacerta bedriagae,Paleartic,Saxicolous,Omnivorous,Omnivorous,Omnivorous,50,Archaeolacerta bedriagae,
"Herrel, et al., 2004",Lacerta bilineata,Lacerta bilineata,Paleartic,Terrestrial,Carnivorous,Carnivorous,,,,
"Verwaijen & Van Damme, 2007",Lacerta monticola,Iberolacerta monticola,Paleartic,Terrestrial/Saxicolous,Carnivorous,,,,Iberolacerta monticola,
"Verwaijen, et al., 2002",Lacerta oxycephala,Dalmatolacerta oxycephala,Paleartic,Saxicolous,Carnivorous,,,,,
"Verwaijen & Van Damme, 2007",Lacerta schreiberi,Lacerta schreiberi,Paleartic,Terrestrial,Carnivorous,,,,,
"Sagonas, et al., 2014",Lacerta trilineata,Lacerta trilineata,Paleartic,Arboreal/Terrestrial/Saxicolous,Omnivorous,,,,,
"Herrel et al., 2001",Lacerta vivipara ,Zootoca vivipara,Paleartic,Terrestrial,Carnivorous,Carnivorous,,,,
"Herrel, et al., 2004",Latastia longicaudata,Latastia longicaudata,Afrotropic,Terrestrial,Carnivorous,Carnivorous,,,,
"Vanhoydonck, et al., 2010",Liolaemus baguali,Liolaemus baguali,Neotropic,Terrestrial,Carnivorous,,,,,
