BinomialReptileDatabase,Sex,Family,HigherTaxonomy,SSM,SSBF,max_bf,max_bm,max_svl,max_hl,max_hw,max_hh,max_ljl,MainBiogeographicRealm,Lifestyle,MieriDiet,MetzgerHerrelDiet,CooperDiet,PercentPlantMatterEaten
Gallotia caesaris,F,Lacertidae,Lacertoidea,20,20,15.9,14.8,84.6,19.3,10.9,8.6,20.8,Paleartic,Terrestrial/Saxicolous,Omnivorous,NA,NA,NA
Gallotia galloti,F,Lacertidae,Lacertoidea,24,24,34.6,NA,92.1,22.9,14.7,11.6,NA,Paleartic,Terrestrial,Herbivorous,Herbivorous,NA,NA
Gallotia intermedia,F,Lacertidae,Lacertoidea,4,4,48,59.7,122.2,28.3,17.9,13.4,30.3,Paleartic,Saxicolous,Omnivorous,NA,NA,NA
Gallotia simonyi,F,Lacertidae,Lacertoidea,14,14,105.6,238.6,196.1,42.6,28.3,22.1,45,Paleartic,Terrestrial,Herbivorous,NA,NA,NA
Gallotia stehlini,F,Lacertidae,Lacertoidea,25,25,83.7,107.6,156.8,35.6,22.4,17.1,38.2,Paleartic,Terrestrial,Herbivorous,NA,NA,NA
Iberolacerta horvathi,F,Lacertidae,Lacertoidea,25,25,1.3395,NA,66.1,20.6,8.2,5.6,NA,Paleartic,Saxicolous,Carnivorous,NA,NA,NA
Karusasaurus polyzonus,F,Cordylidae,Scincoidea,20,20,30.15,NA,105.3,26.08,21.42,12.72,26.37,Afrotropic,Saxicolous,Carnivorous,NA,NA,NA
Archaeolacerta bedriagae,F,Lacertidae,Lacertoidea,7,7,3.8,NA,63.1,15.6,9.3,6.2,NA,Paleartic,Saxicolous,Omnivorous,Omnivorous,Omnivorous,50
Lacerta bilineata,F,Lacertidae,Lacertoidea,2,2,14.5,NA,98.2,23.2,14,11.2,NA,Paleartic,Terrestrial,Carnivorous,Carnivorous,NA,NA
Dalmatolacerta oxycephala,F,Lacertidae,Lacertoidea,13,13,2.9,NA,52.9,13.2,7.1,4.9,13.9,Paleartic,Saxicolous,Carnivorous,NA,NA,NA
Lacerta trilineata,F,Lacertidae,Lacertoidea,12,12,39.43,NA,14.8,4.47,2.32,1.66,2.56,Paleartic,Arboreal/Terrestrial/Saxicolous,Omnivorous,NA,NA,NA
Zootoca vivipara,F,Lacertidae,Lacertoidea,16,16,1.42,2.59,50.44,9.62,6.09,4.59,10.04,Paleartic,Terrestrial,Carnivorous,Carnivorous,NA,NA
Latastia longicaudata,F,Lacertidae,Lacertoidea,4,4,4.6,NA,76.6,17.8,9.5,7.9,NA,Afrotropic,Terrestrial,Carnivorous,Carnivorous,NA,NA
Liolaemus baguali,F,Liolaemidae,Iguania,2,2,10.4,NA,81.79,15.9,10.98,7.13,16.66,Neotropic,Terrestrial,Carnivorous,NA,NA,NA
Liolaemus bibronii,F,Liolaemidae,Iguania,4,4,2.46,NA,55.98,11.38,7.81,5.43,11.52,Neotropic,Terrestrial,Carnivorous,NA,NA,NA
Liolaemus canqueli,F,Liolaemidae,Iguania,4,4,10.95,NA,88.7,17.04,11.27,8.02,17.77,Neotropic,Arboreal/Terrestrial,Omnivorous,NA,NA,NA
Liolaemus coeruleus,F,Liolaemidae,Iguania,5,5,3.64,NA,63.27,12.41,9.09,5.6,12.91,Neotropic,Saxicolous,Omnivorous,NA,NA,NA
Liolaemus elongatus,F,Liolaemidae,Iguania,9,9,6.19,NA,63.13,13.99,8.94,5.88,14.11,Neotropic,Terrestrial,Carnivorous,NA,NA,NA
Liolaemus escarchadosi,F,Liolaemidae,Iguania,2,2,4.88,NA,68.29,14.34,8.81,6,14.48,Neotropic,Saxicolous,Carnivorous,NA,NA,NA
Liolaemus fitzingerii,F,Liolaemidae,Iguania,6,6,10.7,NA,89.93,17.78,11.46,8.15,17.93,Neotropic,Terrestrial,Carnivorous,NA,NA,NA
