"BinomialReptileDatabase","Sex","Family","SSM","SSBF","SE.BM","SE.SVL","SE.HL","SE.HW","SE.HH","SE.LJL","SE.BF"
"Podarcis erhardii","F","Lacertidae",160,160,4.7996117462953,61.8042583734821,13.1542583734821,8.24138701197774,6.46901530373261,10.5979889696936,5.64230249470758
"Anolis frenatus","F","Lacertidae",3,3,NA,75.8776319313961,20.3237306695895,11.9907477288112,9.9918802153517,20.9292007234274,10.9083716857408
"Anolis chloris","F","Lacertidae",4,4,NA,55.5,14.085,7.87,5.7,14.225,3.87
"Anolis auratus","F","Lacertidae",22,22,NA,46.3860451963139,11.8739602149067,6.18116817192535,4.88624412178045,11.9646202507245,2.99792042981337
"Anolis humilis","F","Lacertidae",11,11,NA,35.9288539286733,10.4747254453973,5.75758942438533,4.45869521850577,10.5189974874213,2.34105794120443
" Anolis heterodermus","F","Lacertidae",15,15,NA,71.7469756700139,20.0717647454143,10.0410671784129,8.8949193338483,19.5369287232092,17.604024069705
"Anolis limifrons","F","Lacertidae",23,23,NA,39.7633711792833,11.021364080856,5.63923547734169,4.30463946835769,10.7609383601531,2.06217206288797
"Anolis equestris","F","Lacertidae",2,2,NA,134.40066017178,45.0888582233138,25.4472792206136,18.2684419177103,44.1506601717798,26.0631789258109
"Anolis pulchellus","F","Lacertidae",7,7,NA,41.6812304313689,13.5790811300805,6.55332020977033,5.36064234138978,13.9008943799522,3.31908113008048
"Anolis distichus","F","Lacertidae",75,75,NA,41.3825315410554,11.7904367328411,7.40466323014924,5.36274613391789,11.6742931393017,1.47812733176438
"Anolis valencienni","F","Lacertidae",20,20,NA,61.8105711696549,17.20099689438,8.22180339887499,6.53944271909999,17.233357574155,3.48441330224498
"Trogonophis wiegmanni","F","Trogonophidae",10,10,7.26,156.52,6.82,5.14,4.14,NA,5.4
"Anolis allisoni","F","Dactyloidae",7,7,NA,55.3733202097703,20.3846591439606,8.74332020977034,5.92332020977033,18.2033202097703,2.54804848586338
"Anolis angusticeps","F","Dactyloidae",26,26,NA,40.0159219418951,11.6859219418951,5.345727748652,4.015727748652,11.6859219418951,1.80025188000451
"Anolis bahorucoensis","F","Dactyloidae",22,22,NA,31.8587848023183,10.9545207879912,5.5981247665005,4.60878480231828,10.9545207879912,1.40685713184186
"Anolis baracoae","F","Dactyloidae",3,3,NA,112.863952809568,38.7128203230276,22.0901408311032,15.1601408311032,37.0028203230276,16.1445894683899
"Anolis barahonae","F","Dactyloidae",7,7,NA,141.64686269666,44.0468626966597,24.4057609203101,21.2944219861199,44.0544219861199,41.2162352359916
