BinomialReptileDatabase,Sex,Family,HigherTaxonomy,SSM,SSBF,bf_plus_sd,bm_plus_sd,svl_plus_sd,hl_plus_sd,hw_plus_sd,hh_plus_sd,ljl_plus_sd,MainBiogeographicRealm,Lifestyle,MieriDiet,MetzgerHerrelDiet,CooperDiet,PercentPlantMatterEaten
Liolaemus coeruleus,M,Liolaemidae,Iguania,13,13,6.377998459167036,NA,64.64655204588047,13.46688820407424,9.952943716828878,6.242666153055678,14.030832691319599,Neotropic,Saxicolous,Omnivorous,NA,NA,NA
Liolaemus elongatus,M,Liolaemidae,Iguania,7,7,10.157450786638755,NA,79.57589484680562,17.16955544576196,11.085607775323563,7.137490157327751,17.15664041954067,Neotropic,Terrestrial,Carnivorous,NA,NA,NA
Liolaemus escarchadosi,M,Liolaemidae,Iguania,4,4,12.75,NA,82.24,17.61,11.58,10.27,19.05,Neotropic,Saxicolous,Carnivorous,NA,NA,NA
Liolaemus fitzingerii,M,Liolaemidae,Iguania,4,4,19.11,NA,100.55,20.26,14.32,10.379999999999999,20.95,Neotropic,Terrestrial,Carnivorous,NA,NA,NA
Liolaemus hatcheri,M,Liolaemidae,Iguania,7,7,4.710182906430023,NA,62.16969898150299,13.465607775323564,9.841437827766148,6.26206528843421,13.807895340876794,Neotropic,Terrestrial,Omnivorous,NA,NA,NA
Liolaemus kingii,M,Liolaemidae,Iguania,3,3,10.526166234887677,NA,77.954242446241,16.00444863728671,11.41870489570875,8.176935750346352,16.519089653438087,Neotropic,Terrestrial,Herbivorous,NA,NA,NA
Liolaemus kolengh,M,Liolaemidae,Iguania,7,7,3.3737253933193774,NA,58.86364665194139,12.734352853987438,9.511437827766148,5.955607775323564,13.327895340876793,Neotropic,Terrestrial/Leaf Litter,Omnivorous,NA,NA,NA
Liolaemus kriegi,M,Liolaemidae,Iguania,3,3,9.688320137979414,NA,82.6386910835277,17.609948452238573,13.10746133917893,8.807986928011506,18.086550992617017,Neotropic,Saxicolous,Carnivorous,NA,NA,NA
Liolaemus mapuche,M,Liolaemidae,Iguania,11,11,13.156967336477212,NA,83.66960720230466,17.22965745387819,12.246992462263972,9.273324958071079,17.98282370178174,Neotropic,Terrestrial,Carnivorous,NA,NA,NA
Liolaemus morenoi,M,Liolaemidae,Iguania,6,6,10.120249973963757,NA,68.9201479225204,14.872928563989644,10.456413256273139,7.261464281994822,15.255403051128804,Neotropic,Terrestrial,Omnivorous,NA,NA,NA
