BinomialReptileDatabase,Sex,Family,SSM,SSBF,bf_plus_se,bm_plus_se,svl_plus_se,hl_plus_se,hw_plus_se,hh_plus_se,ljl_plus_se,MainBiogeographicRealm,Lifestyle,MieriDiet,MetzgerHerrelDiet,CooperDiet,PercentPlantMatterEaten
Aspidoscelis sexlineatus,M,Teiidae,112,112,4.46,NA,65.9,16.3,8.629999999999999,7.34,NA,Neartic,Terrestrial,Carnivorous,NA,NA,NA
Bradypodion melanocephalum,F,Chamaeleonidae,16,15,14.941197436860833,NA,57.707499999999996,11.4425,7.4775,7.007499999999999,11.265,Afrotropic,Arboreal,Carnivorous,NA,NA,NA
Bradypodion occidentale,unknown,Chamaeleonidae,10,10,14.81,17.400000000000002,80.85000000000001,NA,NA,NA,NA,Afrotropic,Arboreal,Carnivorous,NA,NA,NA
Bradypodion pumilum,unknown,Chamaeleonidae,10,10,14.03,10.79,68.4,NA,NA,NA,NA,Afrotropic,Arboreal/Terrestrial,Carnivorous,NA,NA,NA
Bradypodion thamnobates,F,Chamaeleonidae,25,25,28.009999999999998,NA,67.084,14.722,10.36,9.15,14.172,Afrotropic,Arboreal,Carnivorous,NA,NA,NA
Carlia triacantha,unknown,Scincidae,2,2,0.6999137802864844,3.4995331880577405,49.18699097554473,9.181629509039022,8.552462120245874,NA,NA,Australasia,Terrestrial,Carnivorous,NA,NA,NA
Chalcides ocellatus,unknown,Scincidae,16,13,7.982096911091856,12,86.9825,12.54,8.305,7.0175,13.72,Paleartic,Cryptic,Carnivorous,NA,NA,NA
Chalcides sepsoides,unknown,Scincidae,17,17,4.30190171877725,4.907386337537059,84.79972913145818,10.01641710001744,6.010036756261989,5.10820855000872,10.142200293775797,Paleartic,Fossorial,Omnivorous,NA,NA,NA
Cophosaurus texanus,unknown,Phrynosomatidae,29,29,4.58,NA,62.27,NA,10.51,8.06,NA,Neartic,Terrestrial/Saxicolous,Carnivorous,Carnivorous,NA,NA
Crotaphytus antiquus,M,Crotaphytidae,18,18,48.2,43.199999999999996,102.30000000000001,28.2,24.1,NA,NA,Neartic,Saxicolous,Carnivorous,NA,NA,NA
Crotaphytus collaris,unknown,Crotaphytidae,6,6,13.719999999999999,NA,77.38000000000001,NA,18.069999999999997,11.690000000000001,NA,Neartic,Terrestrial/Saxicolous,Carnivorous,NA,NA,NA
Cryptoblepharus metallicus,unknown,Scincidae,11,8,0.15535533905932736,1.1507556722888819,37.7894736179239,8.34417633619198,5.473420663903098,NA,NA,Australasia,Arboreal/Saxicolous,Carnivorous,NA,NA,NA
Ctenophorus maculosus,M,Agamidae,32,32,9.436794551983978,10.711022907321226,66.39502678503102,NA,14.48667261889578,9.47308504678942,18.937885822331378,Australasia,Terrestrial,Carnivorous,NA,NA,NA
Ctenotus inornatus,unknown,Scincidae,10,9,1.46,6.187407137381927,66.99100149949979,13.00502136713115,9.273232039443068,NA,NA,Australasia,Terrestrial,Carnivorous,NA,NA,NA
Ctenotus robustus,unknown,Scincidae,15,12,4.632006165897972,20.715690302569747,99.24163054006922,16.284518648581315,12.688287492373474,NA,NA,Australasia,Terrestrial,Omnivorous,NA,NA,NA
Diplolaemus leopardinus,unknown,Leiosauridae,21,20,17.24237456852993,20.04,81.78999999999999,NA,NA,NA,NA,Neotropic,Terrestrial,Carnivorous,NA,NA,NA
Dracaena guianensis,unknown,Teiidae,4,4,427.40000000000003,NA,408.05,84.5,74,58.5,104.25,Neotropic,Arboreal/Semi-Aquatic,Carnivorous,Carnivorous,NA,NA
Elgaria kingii,unknown,Anguidae,15,15,6.74,NA,83.49000000000001,NA,10.37,7.380000000000001,NA,Neartic,Terrestrial/Cryptic,Carnivorous,NA,NA,NA
